~~~~ EXPERIMENT BEGIN ~~~~~~~~ EXPERIMENT BEGIN ~~~~~~~~ EXPERIMENT BEGIN ~~~~~~~~ EXPERIMENT BEGIN ~~~~~~~~ EXPERIMENT BEGIN ~~~~
With variance 0.5, num. components is 2~~~~ EXPERIMENT BEGIN ~~~~
With variance 0.5, num. components is 2~~~~ EXPERIMENT BEGIN ~~~~~~~~ EXPERIMENT BEGIN ~~~~~~~~ EXPERIMENT BEGIN ~~~~
With variance 0.8662626262626263, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.8712121212121212, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.8761616161616161, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.8811111111111111, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.886060606060606, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.891010101010101, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.895959595959596, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.9009090909090909, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.9058585858585859, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.9108080808080807, num. components is 6With 10 clusters, nmi is 0.3980566830664582
With variance 0.9157575757575758, num. components is 7With 10 clusters, nmi is 0.39973487704027755
With variance 0.9207070707070707, num. components is 7With 10 clusters, nmi is 0.39973487704027755
With variance 0.9256565656565656, num. components is 7With 10 clusters, nmi is 0.39973487704027755
With variance 0.9306060606060607, num. components is 7With 10 clusters, nmi is 0.39973487704027755
With variance 0.9355555555555555, num. components is 7With 10 clusters, nmi is 0.39973487704027755
With variance 0.9405050505050505, num. components is 8With 10 clusters, nmi is 0.3970411000705538
With variance 0.9454545454545454, num. components is 8With 10 clusters, nmi is 0.3970411000705538
With variance 0.9504040404040404, num. components is 8With 10 clusters, nmi is 0.3970411000705538
With variance 0.9553535353535354, num. components is 9With 10 clusters, nmi is 0.3981443463493828
With variance 0.9603030303030302, num. components is 9With 10 clusters, nmi is 0.3981443463493828
With variance 0.9652525252525253, num. components is 10With 10 clusters, nmi is 0.39936459298449417
With variance 0.9702020202020202, num. components is 11With 10 clusters, nmi is 0.3976564075876243
With variance 0.9751515151515151, num. components is 11With 10 clusters, nmi is 0.3976564075876243
With variance 0.9801010101010101, num. components is 13With 10 clusters, nmi is 0.3992302982163146
With variance 0.985050505050505, num. components is 14With 10 clusters, nmi is 0.3979416786592017
With variance 0.99, num. components is 17With 10 clusters, nmi is 0.3987269645774553~~~~ EXPERIMENT BEGIN ~~~~
With variance 0.5, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5049494949494949, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5098989898989899, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5148484848484849, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5197979797979798, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5247474747474747, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5296969696969697, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5346464646464646, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5395959595959596, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5445454545454546, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5494949494949495, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5544444444444444, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5593939393939393, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5643434343434344, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5692929292929293, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5742424242424242, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5791919191919191, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5841414141414142, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.5890909090909091, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.594040404040404, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.598989898989899, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6039393939393939, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6088888888888889, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6138383838383838, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6187878787878788, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6237373737373737, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6286868686868687, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6336363636363637, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6385858585858586, num. components is 3With 10 clusters, nmi is 0.27687285646473236
With variance 0.6435353535353535, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6484848484848484, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6534343434343435, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6583838383838384, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6633333333333333, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6682828282828283, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6732323232323232, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6781818181818182, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6831313131313131, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6880808080808081, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.693030303030303, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.6979797979797979, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.702929292929293, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7078787878787879, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7128282828282828, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7177777777777777, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7227272727272727, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7276767676767677, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7326262626262626, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7375757575757576, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7425252525252525, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7474747474747474, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7524242424242424, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7573737373737374, num. components is 4With 10 clusters, nmi is 0.31570739154008587
With variance 0.7623232323232323, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.7672727272727273, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.7722222222222221, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.7771717171717172, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.7821212121212121, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.787070707070707, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.7920202020202021, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.7969696969696969, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8019191919191919, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8068686868686868, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8118181818181818, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8167676767676768, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8217171717171716, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8266666666666667, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8316161616161616, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8365656565656565, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8415151515151515, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8464646464646465, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8514141414141414, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8563636363636363, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8613131313131313, num. components is 5With 10 clusters, nmi is 0.3368380136859222
With variance 0.8662626262626263, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.8712121212121212, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.8761616161616161, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.8811111111111111, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.886060606060606, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.891010101010101, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.895959595959596, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.9009090909090909, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.9058585858585859, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.9108080808080807, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.9157575757575758, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.9207070707070707, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.9256565656565656, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.9306060606060607, num. components is 6With 10 clusters, nmi is 0.3500903380772373
With variance 0.9355555555555555, num. components is 7With 10 clusters, nmi is 0.3513840366027071
With variance 0.9405050505050505, num. components is 7With 10 clusters, nmi is 0.3513840366027071
With variance 0.9454545454545454, num. components is 7With 10 clusters, nmi is 0.3513840366027071
With variance 0.9504040404040404, num. components is 7With 10 clusters, nmi is 0.3513840366027071
With variance 0.9553535353535354, num. components is 7With 10 clusters, nmi is 0.3513840366027071
With variance 0.9603030303030302, num. components is 8With 10 clusters, nmi is 0.3510600022990687
With variance 0.9652525252525253, num. components is 8With 10 clusters, nmi is 0.3510600022990687
With variance 0.9702020202020202, num. components is 9With 10 clusters, nmi is 0.35137252340692404
With variance 0.9751515151515151, num. components is 10With 10 clusters, nmi is 0.35024961695774065
With variance 0.9801010101010101, num. components is 10With 10 clusters, nmi is 0.35024961695774065
With variance 0.985050505050505, num. components is 12With 10 clusters, nmi is 0.34981638367487383
With variance 0.99, num. components is 15With 10 clusters, nmi is 0.35017161246347195~~~~ EXPERIMENT BEGIN ~~~~
With variance 0.5, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5049494949494949, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5098989898989899, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5148484848484849, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5197979797979798, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5247474747474747, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5296969696969697, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5346464646464646, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5395959595959596, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5445454545454546, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5494949494949495, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5544444444444444, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5593939393939393, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5643434343434344, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5692929292929293, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5742424242424242, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5791919191919191, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5841414141414142, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.5890909090909091, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.594040404040404, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.598989898989899, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6039393939393939, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6088888888888889, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6138383838383838, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6187878787878788, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6237373737373737, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6286868686868687, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6336363636363637, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6385858585858586, num. components is 3With 10 clusters, nmi is 0.28792037710330637
With variance 0.6435353535353535, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6484848484848484, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6534343434343435, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6583838383838384, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6633333333333333, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6682828282828283, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6732323232323232, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6781818181818182, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6831313131313131, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6880808080808081, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.693030303030303, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.6979797979797979, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.702929292929293, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7078787878787879, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7128282828282828, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7177777777777777, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7227272727272727, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7276767676767677, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7326262626262626, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7375757575757576, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7425252525252525, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7474747474747474, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7524242424242424, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7573737373737374, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7623232323232323, num. components is 4With 10 clusters, nmi is 0.30804527997046316
With variance 0.7672727272727273, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.7722222222222221, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.7771717171717172, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.7821212121212121, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.787070707070707, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.7920202020202021, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.7969696969696969, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8019191919191919, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8068686868686868, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8118181818181818, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8167676767676768, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8217171717171716, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8266666666666667, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8316161616161616, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8365656565656565, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8415151515151515, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8464646464646465, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8514141414141414, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8563636363636363, num. components is 5With 10 clusters, nmi is 0.33991878809554515
With variance 0.8613131313131313, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.8662626262626263, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.8712121212121212, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.8761616161616161, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.8811111111111111, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.886060606060606, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.891010101010101, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.895959595959596, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9009090909090909, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9058585858585859, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9108080808080807, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9157575757575758, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9207070707070707, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9256565656565656, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9306060606060607, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9355555555555555, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9405050505050505, num. components is 6With 10 clusters, nmi is 0.3766585790940354
With variance 0.9454545454545454, num. components is 7With 10 clusters, nmi is 0.37570079548040447
With variance 0.9504040404040404, num. components is 7With 10 clusters, nmi is 0.37570079548040447
With variance 0.9553535353535354, num. components is 7With 10 clusters, nmi is 0.37570079548040447
With variance 0.9603030303030302, num. components is 7With 10 clusters, nmi is 0.37570079548040447
With variance 0.9652525252525253, num. components is 8With 10 clusters, nmi is 0.3767404222489027
With variance 0.9702020202020202, num. components is 8With 10 clusters, nmi is 0.3767404222489027
With variance 0.9751515151515151, num. components is 9With 10 clusters, nmi is 0.37603024549942876
With variance 0.9801010101010101, num. components is 10With 10 clusters, nmi is 0.37641877664242573
With variance 0.985050505050505, num. components is 12With 10 clusters, nmi is 0.3763229303091221
With variance 0.99, num. components is 14With 10 clusters, nmi is 0.376369284339262
